"store","websites","attribute_set","type","category_ids","sku","has_options","name","meta_title","meta_description","image","small_image","thumbnail","url_key","url_path","custom_design","page_layout","options_container","image_label","small_image_label","thumbnail_label","country_of_manufacture","msrp_enabled","msrp_display_actual_price_type","gift_message_available","price","special_price","weight","msrp","status","is_recurring","visibility","tax_class_id","description","short_description","meta_keyword","custom_layout_update","special_from_date","special_to_date","news_from_date","news_to_date","custom_design_from","custom_design_to","qty","min_qty","use_config_min_qty","is_qty_decimal","backorders","use_config_backorders","min_sale_qty","use_config_min_sale_qty","max_sale_qty","use_config_max_sale_qty","is_in_stock","low_stock_date","notify_stock_qty","use_config_notify_stock_qty","manage_stock","use_config_manage_stock","stock_status_changed_auto","use_config_qty_increments","qty_increments","use_config_enable_qty_inc","enable_qty_increments","is_decimal_divided","stock_status_changed_automatically","use_config_enable_qty_increments","product_name","store_id","product_type_id","product_status_changed","product_changed_websites","creareseo_discontinued","creareseo_discontinued_product","measure","sku_type","weight_type","price_type","price_view","shipment_type","website","_media_image","_media_lable","_media_position","_media_is_disabled","credit_value"
"admin","base","Default","simple","3,4","soup12","0","Egusi Soup","","","/e/g/egusi-soup.jpg","/e/g/egusi-soup.jpg","/e/g/egusi-soup.jpg","egusi-soup","egusi-soup.html","","No layout updates","Product Info Column","","",""," ","Use config","Use config","No","3000.0000","1500.0000","1.0000","","Enabled","No","Catalog, Search","None","Egusi Soup with eforiro","Egusi Soup with eforiro","","","2015-11-27 00:00:00","","","","","","71.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Egusi Soup","0","simple","","","","","","","","","","","","","","","",""
"admin","base","Default","simple","3,4","ogbono-122","0","Ogbono Soup","","","/e/g/egusi-soup_1.jpg","/e/g/egusi-soup_1.jpg","/e/g/egusi-soup_1.jpg","ogbono-soup","ogbono-soup.html","","No layout updates","Product Info Column","","",""," ","Use config","Use config","No","300.0000","","1.0000","","Enabled","No","Catalog, Search","None","Ogbono ","Ogbono Soup","","","","","","","","","997.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Ogbono Soup","0","simple","","","","","","","","","","","","","","","",""
"admin","base","Default","simple","3,4,13,14,15","PowerOil","0","Power Oil","","","/o/i/oils.jpg","/o/i/oils.jpg","/o/i/oils.jpg","power-oil","power-oil.html","","No layout updates","Product Info Column","","",""," ","Use config","Use config","No","200.0000","","1.0000","","Enabled","No","Catalog, Search","None","Power Oil for strong bones","Power Oil for strong bones","","","","","","","","","291.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Power Oil","0","simple","","","","","","","","","","","","","","","",""
"admin","base","Default","simple","3,4,12","beef12","0","Beef","","","/b/e/beef.jpg","/b/e/beef.jpg","/b/e/beef.jpg","beef","beef.html","","No layout updates","Product Info Column","","",""," ","Use config","Use config","No","150.0000","6000.0000","1.0000","","Enabled","No","Catalog, Search","None","Beef for all seasons","Beef for all seasons","","","2015-11-27 00:00:00","","2015-11-27 00:00:00","2018-11-30 00:00:00","","","-582.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","2015-12-07 08:19:15","","1","0","1","0","1","0.0000","1","0","0","0","1","Beef","0","simple","","","","","","","","","","","","","","","",""
"admin","base","Default","simple","3,17","aace1","0","AACE Foods Spice (Jollof Rice Seasoning)","","","/n/u/nutmeg.jpg","/n/u/nutmeg.jpg","/n/u/nutmeg.jpg","aace-foods-spice-jollof-rice-seasoning","aace-foods-spice-jollof-rice-seasoning.html","","No layout updates","Product Info Column","","",""," ","Use config","Use config","No","1000.0000","900.0000","1.0000","","Enabled","No","Catalog, Search","None","AACE Foods Spice (Jollof Rice Seasoning)","AACE Foods Spice (Jollof Rice Seasoning)","","","2015-11-27 00:00:00","","","","","","747.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","AACE Foods Spice (Jollof Rice Seasoning)","0","simple","","","","","","","","","","","","","","","",""
"admin","base","Measure","configurable","3,4,9","chi12","1","Chi Smoked Chicken Wings","","","/c/h/chi-chicken-evron-food-store.jpg","/c/h/chi-chicken-evron-food-store.jpg","/c/h/chi-chicken-evron-food-store.jpg","chi-smoked-chicken-wings","chi-smoked-chicken-wings.html","","No layout updates","Product Info Column","","",""," ","Use config","Use config","No","1500.0000","","","","Enabled","","Catalog, Search","None","Chi Smoked Chicken Wings","Chi Smoked Chicken Wings","","","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Chi Smoked Chicken Wings","0","configurable","","","","","","","","","","","","","","","",""
"admin","base","Measure","simple","","chi12-Small","0","Chi Smoked Chicken Wings-Small","","","","","","chi-smoked-chicken-wings-small","chi-smoked-chicken-wings-small.html","","No layout updates","Product Info Column","","",""," ","Use config","Use config","No","1500.0000","","1.0000","","Enabled","No","Not Visible Individually","None","Chi Smoked Chicken Wings","Chi Smoked Chicken Wings","","","","","","","","","459.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Chi Smoked Chicken Wings-Small","0","simple","","","","","Small","","","","","","","","","","",""
"admin","base","Measure","simple","","chi12-Large","0","Chi Smoked Chicken Wings-Large","","","","","","chi-smoked-chicken-wings-large","chi-smoked-chicken-wings-large.html","","No layout updates","Product Info Column","","",""," ","Use config","Use config","No","2000.0000","","1.0000","","Enabled","No","Not Visible Individually","None","Chi Smoked Chicken Wings","Chi Smoked Chicken Wings","","","","","","","","","910.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Chi Smoked Chicken Wings-Large","0","simple","","","","","Large","","","","","","","","","","",""
"admin","base","Default","simple","4,7,8","titus1","0","Smoked Titus Fish","","","/s/m/smoked_titus_fish.jpg","/s/m/smoked_titus_fish.jpg","/s/m/smoked_titus_fish.jpg","smoked-titus-fish","smoked-titus-fish.html","","No layout updates","Product Info Column","","",""," ","Use config","Use config","No","500.0000","","1.0000","","Enabled","No","Catalog, Search","None","Smoke titus fish smoked with medium heat","Smoke titus fish smoked with medium heat","","","","","","","","","290.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Smoked Titus Fish","0","simple","","","","","","","","","","","","","","","",""
"admin","base","Default","simple","4,5","beef","0","Beef Burger","","","/b/e/beef_burger.jpg","/b/e/beef_burger.jpg","/b/e/beef_burger.jpg","smoked-titus-fish","smoked-titus-fish-31.html","","No layout updates","Product Info Column","","",""," ","Use config","Use config","No","1000.0000","","1.0000","","Enabled","No","Catalog, Search","None","Sliced Beef Burger (contains about 5 slices)","Sliced Beef Burger (contains about 5 slices)","","","","","","","","","-123.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","2015-12-07 08:19:15","","1","0","1","0","1","0.0000","1","0","0","0","1","Beef Burger","0","simple","","","","","","","","","","","","","","","",""
"admin","base","Default","simple","3,4,7","dry-fish-okporoko","0","Dry Fish (Okporoko)","","","/d/r/dry_fish_okporoko_.jpg","/d/r/dry_fish_okporoko_.jpg","/d/r/dry_fish_okporoko_.jpg","dry-fish-okporoko","dry-fish-okporoko.html","","No layout updates","Product Info Column","","",""," ","Use config","Use config","No","1200.0000","","1.0000","","Enabled","No","Catalog, Search","None","Dry Fish Okporoko with 1 piece orange","Dry Fish Okporoko with 1 piece orange","","","","","","","","","1995.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Dry Fish (Okporoko)","0","simple","","","","","","","","","","","","","","","",""
"admin","base","Default","grouped","3,4,5,6,7","egusi2001","0","Boneless Chicken Egusi Soup Things","","","/b/o/boneless_chicken_breast.jpg","/b/o/boneless_chicken_breast.jpg","/b/o/boneless_chicken_breast.jpg","boneless-chicken-egusi-soup-things","boneless-chicken-egusi-soup-things.html","","No layout updates","Product Info Column","","",""," ","","","No","","","","","Enabled","","Catalog, Search","","Boneless Chicken Egusi Soup Things suitable for 4 People","Things for Egusi Soup","","","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Boneless Chicken Egusi Soup Things","0","grouped","","","","","","","","","","","","","","","",""
